Year,Average_Gold_Price
1915,19.25
1916,19.47
1917,19.66
1918,19.84
1919,20.03
1920,20.63
1921,20.69
1922,20.84
1923,20.75
1924,20.78
1925,20.75
1926,20.72
1927,20.75
1928,20.78
1929,20.72
1930,20.69
1931,22.59
1932,20.78
1933,26.47
1934,35.0
1935,35.0
1936,35.0
1937,35.0
1938,35.0
1939,34.69
1940,34.06
1941,34.06
1942,34.06
1943,34.06
1944,34.06
1945,35.0
1946,35.0
1947,35.0
1948,35.0
1949,31.88
1950,35.0
1951,35.0
1952,34.69
1953,35.0
1954,35.31
1955,35.31
1956,35.31
1957,35.0
1958,35.31
1959,35.31
1960,35.31
1961,35.31
1962,35.31
1963,35.31
1964,35.31
1965,35.31
1966,35.31
1967,35.31
1968,40.2025
1969,40.839166666666664
1970,35.98583333333333
1971,40.96666666666666
1972,59.096666666666664
1973,99.95416666666667
1974,161.67916666666667
1975,160.4125
1976,123.79166666666667
1977,148.95000000000002
1978,196.79583333333335
1979,320.97499999999997
1980,607.7624999999999
1981,449.5833333333333
1982,376.1125
1983,419.3958333333333
1984,358.12083333333334
1985,320.8333333333333
1986,368.22499999999997
1987,451.0916666666667
1988,432.21250000000003
1989,380.1166666666666
1990,383.9041666666667
1991,358.9375
1992,343.2291666666667
1993,363.9458333333334
1994,384.6375
1995,383.7625
1996,386.25416666666666
1997,329.3333333333333
1998,294.19166666666666
1999,280.59583333333336
2000,276.675
2001,271.1333333333333
2002,312.8625
2003,367.625
2004,409.80833333333334
2005,448.9791666666667
2006,611.5375
2007,704.6750000000001
2008,880.2083333333334
2009,982.6458333333334
2010,1230.75
2011,1567.9583333333333
2012,1679.8333333333333
2013,1399.5625
2014,1256.25
2015,1151.9458333333334
2016,1249.9750000000001
2017,1269.3375
2018,1265.6000000000001
2019,1405.325
2020,1784.6575
2021,1792.7316666666666
2022,1798.956575
2023,1953.6885166666668
2024,2404.577566666667
2025,3472.540975
2026,4881.6198
