Year,Average_Silver_Price
1915,0.51
1916,0.67
1917,0.84
1918,0.98
1919,1.13
1920,1.03
1921,0.63
1922,0.68
1923,0.65
1924,0.67
1925,0.69
1926,0.62
1927,0.57
1928,0.58
1929,0.53
1930,0.38000000000000006
1931,0.29
1932,0.28
1933,0.3499999999999999
1934,0.48
1935,0.64
1936,0.45
1937,0.45
1938,0.43
1939,0.38999999999999996
1940,0.3499999999999999
1941,0.3499999999999999
1942,0.38000000000000006
1943,0.45
1944,0.45
1945,0.52
1946,0.8000000000000002
1947,0.7200000000000001
1948,0.7399999999999999
1949,0.7200000000000001
1950,0.7399999999999999
1951,0.89
1952,0.85
1953,0.85
1954,0.85
1955,0.89
1956,0.92
1957,0.92
1958,0.89
1959,0.92
1960,0.92
1961,0.93
1962,1.09
1963,1.29225
1964,1.2982500000000001
1965,1.2951666666666666
1966,1.2975833333333333
1967,1.65825
1968,2.1875
1969,1.7983333333333331
1970,1.7516666666666667
1971,1.5183333333333333
1972,1.6975
1973,2.5908333333333333
1974,4.7508333333333335
1975,4.420833333333333
1976,4.3425
1977,4.6466666666666665
1978,5.498333333333334
1979,12.521666666666667
1980,19.475833333333334
1981,10.01
1982,7.930833333333333
1983,11.330833333333333
1984,8.060833333333333
1985,6.164166666666667
1986,5.3975
1987,7.052499999999999
1988,6.4175
1989,5.4191666666666665
1990,4.761666666666667
1991,3.9925
1992,3.92
1993,4.41
1994,5.301666666666667
1995,5.203333333333333
1996,5.1475
1997,4.998333333333334
1998,5.501666666666666
1999,5.28
2000,4.905
2001,4.386666666666667
2002,4.6049999999999995
2003,4.948333333333333
2004,6.6866666666666665
2005,7.391666666666667
2006,11.834166666666667
2007,13.512500000000001
2008,14.975833333333334
2009,14.770000000000001
2010,20.51
2011,35.556666666666665
2012,31.626666666666665
2013,23.53
2014,18.75916666666667
2015,15.514166666666668
2016,17.13266666666667
2017,17.235516666666665
2018,15.637616666666666
2019,16.3618
2020,20.796133333333334
2021,24.96813333333333
2022,21.671766666666667
2023,23.579674999999998
2024,28.128033333333335
2025,41.5015
2026,96.0832
